label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
v1_baseline,True,2.541,0.202,0.943,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,26.45,36.78,0.2401,0.5105,71.04,106.03,80.4,60.4,24.49,32.93,41.84,59.19,45.53,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/v1_baseline_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v1_baseline,True,2.976,0.032,0.989,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,27.39,37.15,0.2599,0.5672,73.93,106.04,84.6,58.3,29.57,33.15,50.75,58.57,57.03,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/v1_baseline_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
nored,True,2.319,0.202,0.898,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,27.62,36.78,0.2612,0.5105,77.8,106.03,78.8,60.4,25.67,32.93,44.05,59.19,48.29,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/nored_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
nored,True,2.924,0.032,0.873,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,28.53,37.15,0.2833,0.5672,81.02,106.04,83.1,58.3,30.65,33.15,52.89,58.57,59.75,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/nored_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
singlewb,True,10.365,0.202,3.744,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,31.78,36.78,0.3482,0.5105,76.6,106.03,74.6,60.4,27.21,32.93,46.6,59.19,50.12,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/singlewb_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
singlewb,True,13.316,0.032,11.055,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,33.0,37.15,0.3616,0.5672,79.95,106.04,77.9,58.3,32.03,33.15,55.33,58.57,61.17,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/singlewb_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
nored_singlewb,True,10.534,0.202,3.774,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,32.6,36.78,0.3724,0.5105,80.99,106.03,73.7,60.4,28.07,32.93,48.32,59.19,52.17,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/nored_singlewb_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
nored_singlewb,True,13.446,0.032,13.513,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,33.57,37.15,0.3811,0.5672,84.41,106.04,77.0,58.3,32.7,33.15,56.71,58.57,62.93,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/nored_singlewb_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
guidedluma,True,1.914,0.202,0.537,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,26.92,36.78,0.2629,0.5105,70.55,106.03,85.0,60.4,27.3,32.93,46.08,59.19,50.06,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/guidedluma_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
guidedluma,True,2.092,0.032,0.599,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,27.24,37.15,0.2757,0.5672,77.77,106.04,86.6,58.3,29.28,33.15,49.43,58.57,55.89,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/guidedluma_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
refined,True,11.415,0.202,2.711,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,31.56,36.78,0.3723,0.5105,84.15,106.03,80.8,60.4,31.27,32.93,53.6,59.19,58.42,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/refined_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
refined,True,12.614,0.032,11.483,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,32.22,37.15,0.3997,0.5672,89.29,106.04,82.0,58.3,33.31,33.15,56.73,58.57,63.74,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores/refined_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
