unit,on_start_utc,on_end_utc,on_dur_s,wh
bmcam003,2026-07-30T16:30:04Z,2026-07-30T16:44:54Z,890.0,0.1604
bmcam003,2026-07-30T17:00:04Z,2026-07-30T17:14:54Z,889.9,0.1636
bmcam003,2026-07-30T17:30:04Z,2026-07-30T17:44:54Z,889.9,0.1615
bmcam003,2026-07-30T18:00:04Z,2026-07-30T18:14:54Z,890.0,0.1565
bmcam003,2026-07-30T18:30:04Z,2026-07-30T18:44:54Z,890.0,0.1563
bmcam003,2026-07-30T19:00:04Z,2026-07-30T19:14:54Z,890.0,0.1586
bmcam003,2026-07-30T19:30:04Z,2026-07-30T19:44:54Z,890.0,0.1607
bmcam003,2026-07-30T20:00:04Z,2026-07-30T20:14:54Z,889.9,0.1609
bmcam003,2026-07-30T20:30:04Z,2026-07-30T20:44:54Z,890.0,0.1545
bmcam003,2026-07-30T21:00:04Z,2026-07-30T21:14:54Z,890.0,0.1552
bmcam003,2026-07-30T21:30:03Z,2026-07-30T21:44:53Z,890.0,0.1535
bmcam003,2026-07-30T22:00:03Z,2026-07-30T22:14:53Z,890.0,0.1548
bmcam003,2026-07-30T22:30:03Z,2026-07-30T22:44:53Z,890.0,0.1556
bmcam003,2026-07-30T23:00:03Z,2026-07-30T23:14:53Z,890.0,0.1579
bmcam003,2026-07-30T23:30:03Z,2026-07-30T23:44:53Z,889.9,0.158
bmcam003,2026-07-31T00:00:03Z,2026-07-31T00:14:53Z,890.0,0.1525
bmcam003,2026-07-31T00:30:03Z,2026-07-31T00:44:53Z,890.0,0.1534
bmcam003,2026-07-31T01:00:03Z,2026-07-31T01:14:53Z,890.0,0.1528
bmcam003,2026-07-31T01:30:03Z,2026-07-31T01:44:53Z,890.0,0.1527
bmcam003,2026-07-31T02:00:03Z,2026-07-31T02:14:53Z,890.0,0.1576
bmcam000,2026-07-30T16:30:05Z,2026-07-30T16:49:55Z,1190.0,0.2274
bmcam000,2026-07-30T17:00:05Z,2026-07-30T17:19:55Z,1190.0,0.2302
bmcam000,2026-07-30T17:30:05Z,2026-07-30T17:49:55Z,1190.0,0.2363
bmcam000,2026-07-30T18:00:05Z,2026-07-30T18:19:55Z,1190.0,0.2331
bmcam000,2026-07-30T18:30:05Z,2026-07-30T18:49:55Z,1190.0,0.232
bmcam000,2026-07-30T19:00:05Z,2026-07-30T19:19:55Z,1190.0,0.2336
bmcam000,2026-07-30T19:30:05Z,2026-07-30T19:49:55Z,1190.0,0.2325
bmcam000,2026-07-30T20:00:05Z,2026-07-30T20:19:55Z,1190.0,0.233
bmcam000,2026-07-30T20:30:05Z,2026-07-30T20:49:55Z,1190.0,0.2335
bmcam000,2026-07-30T21:00:05Z,2026-07-30T21:19:55Z,1190.0,0.2304
bmcam000,2026-07-30T21:30:05Z,2026-07-30T21:49:55Z,1190.0,0.2246
bmcam000,2026-07-30T22:00:05Z,2026-07-30T22:19:55Z,1189.9,0.2241
bmcam000,2026-07-30T22:30:05Z,2026-07-30T22:49:55Z,1190.0,0.2262
bmcam000,2026-07-30T23:00:05Z,2026-07-30T23:19:54Z,1190.0,0.2231
bmcam000,2026-07-30T23:30:04Z,2026-07-30T23:49:54Z,1190.0,0.2226
bmcam000,2026-07-31T00:00:04Z,2026-07-31T00:19:54Z,1190.0,0.2256
bmcam000,2026-07-31T00:30:04Z,2026-07-31T00:49:54Z,1190.0,0.2201
bmcam000,2026-07-31T01:00:04Z,2026-07-31T01:19:54Z,1190.0,0.2189
bmcam000,2026-07-31T01:30:04Z,2026-07-31T01:49:54Z,1190.0,0.2162
