media_id,device_id,filename,stored_captured_at_utc,derived_captured_at_utc,delta_s
52700,BMCAM_004,2026-09-21T07-28-34Z_video_5s.h264,2026-09-21T07:46:00+00:00,2026-09-21T07:28:34+00:00,1046.0
52705,BMCAM_004,2026-09-21T07-43-35Z_video_5s.h264,2026-09-21T07:48:06+00:00,2026-09-21T07:43:35+00:00,271.0
52785,BMCAM_004,2026-09-21T20-07-34Z_video_5s.h264,2026-09-21T20:08:57+00:00,2026-09-21T20:07:34+00:00,83.0
52792,BMCAM_004,2026-09-21T20-20-34Z_video_5s.h264,2026-09-21T20:23:31+00:00,2026-09-21T20:20:34+00:00,177.0
52799,BMCAM_004,2026-09-21T20-40-34Z_video_5s.h264,2026-09-21T20:43:38+00:00,2026-09-21T20:40:34+00:00,184.0
52800,BMCAM_004,2026-09-21T21-00-34Z_video_5s.h264,2026-09-21T21:03:38+00:00,2026-09-21T21:00:34+00:00,184.0
52806,BMCAM_004,2026-09-21T21-20-34Z_video_5s.h264,2026-09-21T21:23:39+00:00,2026-09-21T21:20:34+00:00,185.0
52813,BMCAM_004,2026-09-21T21-40-33Z_video_5s.h264,2026-09-21T21:43:29+00:00,2026-09-21T21:40:33+00:00,176.0
52814,BMCAM_004,2026-09-21T22-00-33Z_video_5s.h264,2026-09-21T22:03:37+00:00,2026-09-21T22:00:33+00:00,184.0
52821,BMCAM_004,2026-09-21T22-20-33Z_video_5s.h264,2026-09-21T22:23:38+00:00,2026-09-21T22:20:33+00:00,185.0
52828,BMCAM_004,2026-09-21T22-40-33Z_video_5s.h264,2026-09-21T22:43:39+00:00,2026-09-21T22:40:33+00:00,186.0
52829,BMCAM_004,2026-09-21T23-00-33Z_video_5s.h264,2026-09-21T23:03:39+00:00,2026-09-21T23:00:33+00:00,186.0
52836,BMCAM_004,2026-09-21T23-20-33Z_video_5s.h264,2026-09-21T23:23:37+00:00,2026-09-21T23:20:33+00:00,184.0
52843,BMCAM_004,2026-09-21T23-40-32Z_video_5s.h264,2026-09-21T23:43:38+00:00,2026-09-21T23:40:32+00:00,186.0
52844,BMCAM_004,2026-09-22T00-00-32Z_video_5s.h264,2026-09-22T00:03:35+00:00,2026-09-22T00:00:32+00:00,183.0
52851,BMCAM_004,2026-09-22T00-20-32Z_video_5s.h264,2026-09-22T00:23:36+00:00,2026-09-22T00:20:32+00:00,184.0
52858,BMCAM_004,2026-09-22T00-40-32Z_video_5s.h264,2026-09-22T00:43:35+00:00,2026-09-22T00:40:32+00:00,183.0
52859,BMCAM_004,2026-09-22T01-00-32Z_video_5s.h264,2026-09-22T01:03:35+00:00,2026-09-22T01:00:32+00:00,183.0
52866,BMCAM_004,2026-09-22T01-20-31Z_video_5s.h264,2026-09-22T01:23:32+00:00,2026-09-22T01:20:31+00:00,181.0
52873,BMCAM_004,2026-09-22T01-40-31Z_video_5s.h264,2026-09-22T01:43:32+00:00,2026-09-22T01:40:31+00:00,181.0
52874,BMCAM_004,2026-09-22T02-00-31Z_video_5s.h264,2026-09-22T02:03:35+00:00,2026-09-22T02:00:31+00:00,184.0
52881,BMCAM_004,2026-09-22T02-20-31Z_video_5s.h264,2026-09-22T02:23:36+00:00,2026-09-22T02:20:31+00:00,185.0
52887,BMCAM_004,2026-09-22T02-40-31Z_video_5s.h264,2026-09-22T02:43:38+00:00,2026-09-22T02:40:31+00:00,187.0
52888,BMCAM_004,2026-09-22T03-00-30Z_video_5s.h264,2026-09-22T03:03:37+00:00,2026-09-22T03:00:30+00:00,187.0
52896,BMCAM_004,2026-09-22T03-20-30Z_video_5s.h264,2026-09-22T03:23:36+00:00,2026-09-22T03:20:30+00:00,186.0
52902,BMCAM_004,2026-09-22T03-40-30Z_video_5s.h264,2026-09-22T03:43:36+00:00,2026-09-22T03:40:30+00:00,186.0
52903,BMCAM_004,2026-09-22T04-00-30Z_video_5s.h264,2026-09-22T04:03:38+00:00,2026-09-22T04:00:30+00:00,188.0
52911,BMCAM_004,2026-09-22T04-20-40Z_video_5s.h264,2026-09-22T04:23:43+00:00,2026-09-22T04:20:40+00:00,183.0
52966,BMCAM_003,2026-09-21T18-49-23Z_video_5s.h264,2026-09-21T18:52:23+00:00,2026-09-21T18:49:23+00:00,180.0
52967,BMCAM_003,2026-09-21T20-07-34Z_video_5s.h264,2026-09-21T20:08:56+00:00,2026-09-21T20:07:34+00:00,82.0
52968,BMCAM_003,2026-09-21T20-20-34Z_video_5s.h264,2026-09-21T20:23:39+00:00,2026-09-21T20:20:34+00:00,185.0
52969,BMCAM_003,2026-09-21T20-40-33Z_video_5s.h264,2026-09-21T20:43:38+00:00,2026-09-21T20:40:33+00:00,185.0
52970,BMCAM_003,2026-09-21T21-00-33Z_video_5s.h264,2026-09-21T21:03:37+00:00,2026-09-21T21:00:33+00:00,184.0
52971,BMCAM_003,2026-09-21T21-20-33Z_video_5s.h264,2026-09-21T21:23:39+00:00,2026-09-21T21:20:33+00:00,186.0
52972,BMCAM_003,2026-09-21T21-40-33Z_video_5s.h264,2026-09-21T21:43:41+00:00,2026-09-21T21:40:33+00:00,188.0
52973,BMCAM_003,2026-09-21T22-00-33Z_video_5s.h264,2026-09-21T22:03:34+00:00,2026-09-21T22:00:33+00:00,181.0
52974,BMCAM_003,2026-09-21T22-20-32Z_video_5s.h264,2026-09-21T22:23:36+00:00,2026-09-21T22:20:32+00:00,184.0
52975,BMCAM_003,2026-09-21T22-40-32Z_video_5s.h264,2026-09-21T22:43:36+00:00,2026-09-21T22:40:32+00:00,184.0
52976,BMCAM_003,2026-09-21T23-00-32Z_video_5s.h264,2026-09-21T23:03:37+00:00,2026-09-21T23:00:32+00:00,185.0
52977,BMCAM_003,2026-09-21T23-20-32Z_video_5s.h264,2026-09-21T23:23:37+00:00,2026-09-21T23:20:32+00:00,185.0
52978,BMCAM_003,2026-09-21T23-40-32Z_video_5s.h264,2026-09-21T23:43:37+00:00,2026-09-21T23:40:32+00:00,185.0
52979,BMCAM_003,2026-09-22T00-00-31Z_video_5s.h264,2026-09-22T00:03:36+00:00,2026-09-22T00:00:31+00:00,185.0
52980,BMCAM_003,2026-09-22T00-20-31Z_video_5s.h264,2026-09-22T00:23:34+00:00,2026-09-22T00:20:31+00:00,183.0
52981,BMCAM_003,2026-09-22T04-40-38Z_video_5s.h264,2026-09-22T04:43:41+00:00,2026-09-22T04:40:38+00:00,183.0
52985,BMCAM_004,2026-09-22T04-40-29Z_video_5s.h264,2026-09-22T04:43:34+00:00,2026-09-22T04:40:29+00:00,185.0
52986,BMCAM_004,2026-09-22T05-00-39Z_video_5s.h264,2026-09-22T05:03:44+00:00,2026-09-22T05:00:39+00:00,185.0
52988,BMCAM_003,2026-09-22T05-00-38Z_video_5s.h264,2026-09-22T05:03:41+00:00,2026-09-22T05:00:38+00:00,183.0
52995,BMCAM_004,2026-09-22T05-20-39Z_video_5s.h264,2026-09-22T05:23:40+00:00,2026-09-22T05:20:39+00:00,181.0
52997,BMCAM_003,2026-09-22T05-20-38Z_video_5s.h264,2026-09-22T05:23:39+00:00,2026-09-22T05:20:38+00:00,181.0
52998,BMCAM_003,2026-09-22T05-40-38Z_video_5s.h264,2026-09-22T05:43:34+00:00,2026-09-22T05:40:38+00:00,176.0
53003,BMCAM_004,2026-09-22T05-40-39Z_video_5s.h264,2026-09-22T05:43:42+00:00,2026-09-22T05:40:39+00:00,183.0
53004,BMCAM_004,2026-09-22T06-00-39Z_video_5s.h264,2026-09-22T06:03:41+00:00,2026-09-22T06:00:39+00:00,182.0
53006,BMCAM_003,2026-09-22T06-00-38Z_video_5s.h264,2026-09-22T06:03:42+00:00,2026-09-22T06:00:38+00:00,184.0
53012,BMCAM_004,2026-09-22T06-20-38Z_video_5s.h264,2026-09-22T06:23:40+00:00,2026-09-22T06:20:38+00:00,182.0
53015,BMCAM_003,2026-09-22T06-20-37Z_video_5s.h264,2026-09-22T06:23:42+00:00,2026-09-22T06:20:37+00:00,185.0
53016,BMCAM_003,2026-09-22T06-40-37Z_video_5s.h264,2026-09-22T06:43:42+00:00,2026-09-22T06:40:37+00:00,185.0
53021,BMCAM_004,2026-09-22T06-40-38Z_video_5s.h264,2026-09-22T06:43:40+00:00,2026-09-22T06:40:38+00:00,182.0
53022,BMCAM_004,2026-09-22T07-00-38Z_video_5s.h264,2026-09-22T07:03:41+00:00,2026-09-22T07:00:38+00:00,183.0
53024,BMCAM_003,2026-09-22T07-00-37Z_video_5s.h264,2026-09-22T07:03:38+00:00,2026-09-22T07:00:37+00:00,181.0
53030,BMCAM_004,2026-09-22T07-20-38Z_video_5s.h264,2026-09-22T07:23:39+00:00,2026-09-22T07:20:38+00:00,181.0
53033,BMCAM_003,2026-09-22T07-20-37Z_video_5s.h264,2026-09-22T07:23:42+00:00,2026-09-22T07:20:37+00:00,185.0
53034,BMCAM_003,2026-09-22T07-40-37Z_video_5s.h264,2026-09-22T07:43:41+00:00,2026-09-22T07:40:37+00:00,184.0
53039,BMCAM_004,2026-09-22T07-40-38Z_video_5s.h264,2026-09-22T07:43:40+00:00,2026-09-22T07:40:38+00:00,182.0
53040,BMCAM_004,2026-09-22T08-00-37Z_video_5s.h264,2026-09-22T08:03:39+00:00,2026-09-22T08:00:37+00:00,182.0
53042,BMCAM_003,2026-09-22T08-00-37Z_video_5s.h264,2026-09-22T08:03:41+00:00,2026-09-22T08:00:37+00:00,184.0
53048,BMCAM_004,2026-09-22T08-20-37Z_video_5s.h264,2026-09-22T08:23:38+00:00,2026-09-22T08:20:37+00:00,181.0
53051,BMCAM_003,2026-09-22T08-20-36Z_video_5s.h264,2026-09-22T08:23:32+00:00,2026-09-22T08:20:36+00:00,176.0
53052,BMCAM_003,2026-09-22T08-40-32Z_video_5s.h264,2026-09-22T08:43:36+00:00,2026-09-22T08:40:32+00:00,184.0
53057,BMCAM_004,2026-09-22T08-40-37Z_video_5s.h264,2026-09-22T08:43:39+00:00,2026-09-22T08:40:37+00:00,182.0
53058,BMCAM_004,2026-09-22T09-00-37Z_video_5s.h264,2026-09-22T09:03:31+00:00,2026-09-22T09:00:37+00:00,174.0
53060,BMCAM_003,2026-09-22T09-00-32Z_video_5s.h264,2026-09-22T09:03:41+00:00,2026-09-22T09:00:32+00:00,189.0
53066,BMCAM_004,2026-09-22T09-20-37Z_video_5s.h264,2026-09-22T09:23:41+00:00,2026-09-22T09:20:37+00:00,184.0
53069,BMCAM_003,2026-09-22T09-20-32Z_video_5s.h264,2026-09-22T09:23:36+00:00,2026-09-22T09:20:32+00:00,184.0
53070,BMCAM_003,2026-09-22T09-40-32Z_video_5s.h264,2026-09-22T09:43:34+00:00,2026-09-22T09:40:32+00:00,182.0
53075,BMCAM_004,2026-09-22T09-40-36Z_video_5s.h264,2026-09-22T09:43:39+00:00,2026-09-22T09:40:36+00:00,183.0
53076,BMCAM_004,2026-09-22T10-00-36Z_video_5s.h264,2026-09-22T10:03:28+00:00,2026-09-22T10:00:36+00:00,172.0
53078,BMCAM_003,2026-09-22T10-00-31Z_video_5s.h264,2026-09-22T10:03:37+00:00,2026-09-22T10:00:31+00:00,186.0
53081,BMCAM_004,2026-09-22T10-20-36Z_video_5s.h264,2026-09-22T10:23:40+00:00,2026-09-22T10:20:36+00:00,184.0
53082,BMCAM_003,2026-09-22T10-20-31Z_video_5s.h264,2026-09-22T10:23:38+00:00,2026-09-22T10:20:31+00:00,187.0
53083,BMCAM_003,2026-09-22T10-40-31Z_video_5s.h264,2026-09-22T10:43:37+00:00,2026-09-22T10:40:31+00:00,186.0
53084,BMCAM_004,2026-09-22T10-40-36Z_video_5s.h264,2026-09-22T10:43:40+00:00,2026-09-22T10:40:36+00:00,184.0
53085,BMCAM_004,2026-09-22T11-00-36Z_video_5s.h264,2026-09-22T11:03:38+00:00,2026-09-22T11:00:36+00:00,182.0
53086,BMCAM_003,2026-09-22T11-00-31Z_video_5s.h264,2026-09-22T11:03:36+00:00,2026-09-22T11:00:31+00:00,185.0
53087,BMCAM_004,2026-09-22T11-20-35Z_video_5s.h264,2026-09-22T11:23:38+00:00,2026-09-22T11:20:35+00:00,183.0
53088,BMCAM_003,2026-09-22T11-20-31Z_video_5s.h264,2026-09-22T11:23:36+00:00,2026-09-22T11:20:31+00:00,185.0
53089,BMCAM_003,2026-09-22T11-40-30Z_video_5s.h264,2026-09-22T11:43:36+00:00,2026-09-22T11:40:30+00:00,186.0
53090,BMCAM_004,2026-09-22T11-40-35Z_video_5s.h264,2026-09-22T11:43:39+00:00,2026-09-22T11:40:35+00:00,184.0
53091,BMCAM_004,2026-09-22T12-00-35Z_video_5s.h264,2026-09-22T12:03:39+00:00,2026-09-22T12:00:35+00:00,184.0
53092,BMCAM_003,2026-09-22T12-00-30Z_video_5s.h264,2026-09-22T12:03:35+00:00,2026-09-22T12:00:30+00:00,185.0
53093,BMCAM_004,2026-09-22T12-20-35Z_video_5s.h264,2026-09-22T12:23:38+00:00,2026-09-22T12:20:35+00:00,183.0
53094,BMCAM_003,2026-09-22T12-20-30Z_video_5s.h264,2026-09-22T12:23:35+00:00,2026-09-22T12:20:30+00:00,185.0
53095,BMCAM_003,2026-09-22T12-40-30Z_video_5s.h264,2026-09-22T12:43:35+00:00,2026-09-22T12:40:30+00:00,185.0
53096,BMCAM_004,2026-09-22T12-40-35Z_video_5s.h264,2026-09-22T12:43:37+00:00,2026-09-22T12:40:35+00:00,182.0
53097,BMCAM_004,2026-09-22T13-00-35Z_video_5s.h264,2026-09-22T13:03:41+00:00,2026-09-22T13:00:35+00:00,186.0
53098,BMCAM_003,2026-09-22T13-00-30Z_video_5s.h264,2026-09-22T13:03:37+00:00,2026-09-22T13:00:30+00:00,187.0
53099,BMCAM_003,2026-09-22T13-20-39Z_video_5s.h264,2026-09-22T13:23:41+00:00,2026-09-22T13:20:39+00:00,182.0
53100,BMCAM_003,2026-09-22T13-28-09Z_video_5s.h264,2026-09-22T13:29:30+00:00,2026-09-22T13:28:09+00:00,81.0
53101,BMCAM_004,2026-09-22T13-20-34Z_video_5s.h264,2026-09-22T13:23:39+00:00,2026-09-22T13:20:34+00:00,185.0
53106,BMCAM_003,2026-09-22T13-40-39Z_video_5s.h264,2026-09-22T13:43:42+00:00,2026-09-22T13:40:39+00:00,183.0
53107,BMCAM_003,2026-09-22T14-00-39Z_video_5s.h264,2026-09-22T14:03:29+00:00,2026-09-22T14:00:39+00:00,170.0
53109,BMCAM_004,2026-09-22T13-40-34Z_video_5s.h264,2026-09-22T13:43:30+00:00,2026-09-22T13:40:34+00:00,176.0
53110,BMCAM_004,2026-09-22T14-00-34Z_video_5s.h264,2026-09-22T14:03:31+00:00,2026-09-22T14:00:34+00:00,177.0
53113,BMCAM_004,2026-09-22T14-20-34Z_video_5s.h264,2026-09-22T14:23:39+00:00,2026-09-22T14:20:34+00:00,185.0
53114,BMCAM_003,2026-09-22T14-20-39Z_video_5s.h264,2026-09-22T14:23:37+00:00,2026-09-22T14:20:39+00:00,178.0
53115,BMCAM_003,2026-09-22T14-40-39Z_video_5s.h264,2026-09-22T14:43:34+00:00,2026-09-22T14:40:39+00:00,175.0
53116,BMCAM_004,2026-09-22T14-40-34Z_video_5s.h264,2026-09-22T14:43:40+00:00,2026-09-22T14:40:34+00:00,186.0
53117,BMCAM_004,2026-09-22T15-00-33Z_video_5s.h264,2026-09-22T15:03:12+00:00,2026-09-22T15:00:33+00:00,159.0
53118,BMCAM_003,2026-09-22T15-00-38Z_video_5s.h264,2026-09-22T15:03:34+00:00,2026-09-22T15:00:38+00:00,176.0
53119,BMCAM_004,2026-09-22T15-20-33Z_video_5s.h264,2026-09-22T15:23:39+00:00,2026-09-22T15:20:33+00:00,186.0
53120,BMCAM_003,2026-09-22T16-00-31Z_video_5s.h264,2026-09-22T16:03:37+00:00,2026-09-22T16:00:31+00:00,186.0
53121,BMCAM_003,2026-09-22T16-20-31Z_video_5s.h264,2026-09-22T16:23:28+00:00,2026-09-22T16:20:31+00:00,177.0
53122,BMCAM_004,2026-09-22T16-00-31Z_video_5s.h264,2026-09-22T16:03:33+00:00,2026-09-22T16:00:31+00:00,182.0
53123,BMCAM_004,2026-09-22T16-20-30Z_video_5s.h264,2026-09-22T16:23:34+00:00,2026-09-22T16:20:30+00:00,184.0
53124,BMCAM_004,2026-09-22T16-40-30Z_video_5s.h264,2026-09-22T16:43:32+00:00,2026-09-22T16:40:30+00:00,182.0
53125,BMCAM_004,2026-09-22T17-00-30Z_video_5s.h264,2026-09-22T17:03:29+00:00,2026-09-22T17:00:30+00:00,179.0
53126,BMCAM_004,2026-09-22T17-20-30Z_video_5s.h264,2026-09-22T17:23:36+00:00,2026-09-22T17:20:30+00:00,186.0
53127,BMCAM_004,2026-09-22T17-40-30Z_video_5s.h264,2026-09-22T17:43:33+00:00,2026-09-22T17:40:30+00:00,183.0
53128,BMCAM_003,2026-09-22T17-10-35Z_video_5s.h264,2026-09-22T17:13:31+00:00,2026-09-22T17:10:35+00:00,176.0
53129,BMCAM_003,2026-09-22T16-50-35Z_video_5s.h264,2026-09-22T16:53:35+00:00,2026-09-22T16:50:35+00:00,180.0
53130,BMCAM_003,2026-09-22T17-30-35Z_video_5s.h264,2026-09-22T17:33:30+00:00,2026-09-22T17:30:35+00:00,175.0
