image,timestamp_utc,card_detected,quality_status,corner_source,tag_count,tag_ids,tag_side_px_min,patch_count_used,white_patch_red_frac,red_signal_ok,method,model_from,gray_neutrality_before,gray_neutrality_after,gray_angular_deg_before,gray_angular_deg_after,mean_patch_de_before,mean_patch_de_after,mean_patch_de2000_before,mean_patch_de2000_after,mean_patch_de_color_after,max_patch_de_after,mean_luma_before,mean_luma_after,clip_percent_low_after,clip_percent_high_after,cutsheet_path,notes
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,28.0,17,0.1451,True,gray_world,,0.5105,0.225,36.78,22.96,59.19,39.99,32.93,23.55,44.44,67.01,60.4,64.9,3.472,1.093,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,28.0,17,0.1451,True,white_patch,,0.5105,0.0572,36.78,5.94,59.19,31.8,32.93,20.56,33.61,60.84,60.4,118.7,3.472,16.982,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,28.0,17,0.1451,True,gray_balance,,0.5105,0.0654,36.78,8.25,59.19,27.38,32.93,17.09,30.02,44.16,60.4,90.5,3.472,8.866,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,28.0,17,0.1451,True,ccm3x3,,0.5105,0.0671,36.78,7.78,59.19,21.87,32.93,14.56,21.34,50.81,60.4,89.2,4.291,7.415,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,28.0,17,0.1451,True,ccm_affine,,0.5105,0.4757,36.78,17.72,59.19,15.83,32.93,10.35,14.36,36.52,60.4,37.2,84.864,8.17,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,28.0,17,0.1451,True,root_poly2,,0.5105,0.064,36.78,7.19,59.19,18.16,32.93,12.71,15.88,52.63,60.4,87.6,11.134,8.621,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,28.0,17,0.1451,True,root_poly3,,0.5105,0.0112,36.78,1.17,59.19,5.72,32.93,3.92,4.09,32.03,60.4,80.5,14.188,7.071,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,2026-09-01T18:00:24Z,True,PASS,apriltag,4,0 1 2 3,28.5,17,0.0353,False,gray_world,,0.5672,0.2777,37.15,27.61,58.57,41.42,33.15,24.79,45.16,65.19,58.3,63.0,7.31,0.715,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z/cutsheet.jpg,white-patch red only 3.5% of full scale (<5%): red is unrecoverable by ANY method at this range/light
SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,2026-09-01T18:00:24Z,True,PASS,apriltag,4,0 1 2 3,28.5,17,0.0353,False,white_patch,,0.5672,0.1919,37.15,17.79,58.57,40.11,33.15,25.88,39.35,87.31,58.3,144.2,7.31,51.453,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z/cutsheet.jpg,white-patch red only 3.5% of full scale (<5%): red is unrecoverable by ANY method at this range/light
SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,2026-09-01T18:00:24Z,True,PASS,apriltag,4,0 1 2 3,28.5,17,0.0353,False,gray_balance,,0.5672,0.0439,37.15,10.43,58.57,28.4,33.15,18.5,30.78,47.94,58.3,106.8,7.31,17.561,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/sprint05_color_smoke_20260901/SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z/cutsheet.jpg,white-patch red only 3.5% of full scale (<5%): red is unrecoverable by ANY method at this range/light
