utc,fn,sz,res,fps,dur,tmp,rd,encode_s,boundary_s
2026-08-18T04:56:13Z,2026-08-18T04-56-13Z_video_1000x562_15fps.mp4,2927532,1000x562,15,15,33.2,0,16.3,3.8
2026-08-18T04:56:34Z,2026-08-18T04-56-34Z_video_1000x562_15fps.mp4,2837983,1000x562,15,15,34.3,0,15.6,2.9
2026-08-18T04:56:52Z,2026-08-18T04-56-52Z_video_1000x562_15fps.mp4,2782689,1000x562,15,15,34.3,0,15.6,2.2
2026-08-18T04:57:10Z,2026-08-18T04-57-10Z_video_1000x562_15fps.mp4,2760834,1000x562,15,15,34.3,0,15.5,2.2
2026-08-18T05:00:03Z,2026-08-18T05-00-03Z_video_1000x562_15fps.mp4,60180807,1000x562,15,300,36.5,0,301.7,9.4
2026-08-18T05:05:15Z,2026-08-18T05-05-15Z_video_1000x562_15fps.mp4,59466177,1000x562,15,300,34.9,0,301.0,6.3
2026-08-18T05:10:24Z,2026-08-18T05-10-24Z_video_1000x562_15fps.mp4,59590005,1000x562,15,300,35.9,0,300.7,5.8
2026-08-18T05:15:31Z,2026-08-18T05-15-31Z_video_1000x562_15fps.mp4,59520177,1000x562,15,300,36.5,0,300.8,7.6
2026-08-18T05:20:41Z,2026-08-18T05-20-41Z_video_1000x562_15fps.mp4,59395102,1000x562,15,300,37.0,0,300.6,8.8
2026-08-18T05:29:39Z,2026-08-18T05-29-39Z_video_1000x562_15fps.mp4,64909393,1000x562,15,300,37.0,0,301.3,11.4
2026-08-18T05:34:53Z,2026-08-18T05-34-53Z_video_1000x562_15fps.mp4,64280938,1000x562,15,300,37.6,0,300.8,9.9
2026-08-18T05:40:06Z,2026-08-18T05-40-06Z_video_1000x562_15fps.mp4,63887640,1000x562,15,300,38.6,0,301.0,6.7
2026-08-18T05:45:16Z,2026-08-18T05-45-16Z_video_1000x562_15fps.mp4,63805319,1000x562,15,300,38.6,0,300.6,4.4
2026-08-18T05:50:22Z,2026-08-18T05-50-22Z_video_1000x562_15fps.mp4,63600074,1000x562,15,300,39.2,0,300.5,4.3
2026-08-18T05:55:28Z,2026-08-18T05-55-28Z_video_1000x562_15fps.mp4,63531786,1000x562,15,300,38.6,0,300.6,5.5
2026-08-18T06:00:35Z,2026-08-18T06-00-35Z_video_1000x562_15fps.mp4,63436523,1000x562,15,300,39.7,0,300.6,4.5
2026-08-18T06:05:42Z,2026-08-18T06-05-42Z_video_1000x562_15fps.mp4,63475539,1000x562,15,300,39.2,0,300.6,4.6
2026-08-18T06:10:48Z,2026-08-18T06-10-48Z_video_1000x562_15fps.mp4,63446753,1000x562,15,300,39.2,0,300.6,6.2
2026-08-18T06:15:56Z,2026-08-18T06-15-56Z_video_1000x562_15fps.mp4,63521737,1000x562,15,300,40.2,0,300.6,4.3
2026-08-18T06:21:03Z,2026-08-18T06-21-03Z_video_1000x562_15fps.mp4,63508071,1000x562,15,300,39.7,0,300.6,4.4
2026-08-18T06:26:09Z,2026-08-18T06-26-09Z_video_1000x562_15fps.mp4,63550279,1000x562,15,300,39.2,0,300.5,4.2
2026-08-18T06:31:15Z,2026-08-18T06-31-15Z_video_1000x562_15fps.mp4,63516482,1000x562,15,300,40.2,0,300.5,7.6
2026-08-18T06:36:25Z,2026-08-18T06-36-25Z_video_1000x562_15fps.mp4,63481494,1000x562,15,300,40.2,0,300.6,4.3
2026-08-18T06:41:31Z,2026-08-18T06-41-31Z_video_1000x562_15fps.mp4,64477092,1000x562,15,300,39.7,0,300.6,7.2
2026-08-18T06:46:41Z,2026-08-18T06-46-41Z_video_1000x562_15fps.mp4,64674538,1000x562,15,300,40.8,0,300.6,7.7
2026-08-18T06:51:51Z,2026-08-18T06-51-51Z_video_1000x562_15fps.mp4,64680963,1000x562,15,300,40.2,0,300.8,5.6
2026-08-18T06:57:00Z,2026-08-18T06-57-00Z_video_1000x562_15fps.mp4,64839358,1000x562,15,300,40.8,0,300.6,4.4
2026-08-18T07:02:07Z,2026-08-18T07-02-07Z_video_1000x562_15fps.mp4,71235769,1000x562,15,300,40.8,0,301.4,7.2
2026-08-18T07:07:16Z,2026-08-18T07-07-16Z_video_1000x562_15fps.mp4,72284156,1000x562,15,300,40.2,0,300.6,4.6
2026-08-18T07:12:23Z,2026-08-18T07-12-23Z_video_1000x562_15fps.mp4,70056398,1000x562,15,300,39.7,0,300.5,5.5
